"transaction_id","date","company_name","stock_symbol","trader_name","tansaction_type","quantity","price_per_share","total_value","is_scam_related","sensex"
"0c85e8a4-882a-437f-a749-63c57fd4608e","2/18/1991","Rose Inc","ulXE","Harshad Mehta","Buy",7370,"161.01","1.1866438e+06",True,NULL
"0d1191a6-67a9-4fac-b25c-952f33d260dd","5/31/1989","Davis LLC","RkUW","Harshad Mehta","Buy",960,"580.53","557308.8",False,NULL
"66e5469b-4a08-4871-ab44-4a2d9cf094cf","8/7/1990","Carroll PLC","nTLm","David Lewis","Buy",5490,"610.65","3.3524685e+06",True,3492
"76d24d14-5276-4255-86f0-a096132c783c","8/16/1988","Alvarado-Ross","THWT","Harshad Mehta","Buy",5291,"429.89","2.274548e+06",True,NULL
"ce10e053-5bf5-4b1f-b1f3-4c337fa34dec","7/19/1989","Ortiz, Jenkins and Myers","biBd","Harshad Mehta","Sell",5834,"739.08","4.3117925e+06",False,NULL
"abaa0493-99d5-46ab-9901-d239dfa5c3c6","4/9/1991","Torres-Thomas","QDMW","Harshad Mehta","Buy",6365,"935.02","5.9514025e+06",True,NULL
"d9bc2900-3aa6-4801-aa19-6cf11e8cda02","10/16/1988","Swanson Group","VvEV","Harshad Mehta","Buy",566,"926.31","524291.44",False,NULL
"f56f4218-073e-4b5c-884e-a35319400bab","11/15/1988","Horn PLC","EapS","Harshad Mehta","Buy",4526,"456.33","2.0653496e+06",True,NULL
"e6b20376-6c79-4855-b489-50c02bf1ea93","11/11/1989","Thompson LLC","fhpR","Laura Cole","Buy",5678,"122.11","693340.56",False,NULL
"e74f827b-58df-4216-a500-a64d4f96b2b4","4/25/1990","Robinson-Cooper","QwCW","Harshad Mehta","Buy",8422,"984.99","8.295586e+06",False,1404
"eec8f639-a380-419c-8252-808d8e8d6cf6","9/28/1988","Johnson PLC","wXBw","Harshad Mehta","Buy",1785,"840.51","1.5003104e+06",True,NULL
"841d6c85-0722-4bf7-b965-6eb17da159c5","2/22/1991","Wolfe-Murphy","cYpj","Harshad Mehta","Buy",869,"133.42","115941.98",False,NULL
"f5316d22-7b2a-45da-81c1-46e6aeb537a2","2/3/1990","Young, Barron and Gordon","uCjR","Harshad Mehta","Sell",7049,"921.63","6.49657e+06",True,1275
"32f731e3-8d5e-4182-9219-0c3709768aeb","11/9/1988","Gilbert, Little and Simpson","ZxMD","Harshad Mehta","Buy",2533,"871.2","2.2067495e+06",False,NULL
"71779cff-a68d-4eaf-b1aa-9c34894e6a74","6/21/1990","Scott-Cowan","Fewd","Harshad Mehta","Buy",5411,"523.65","2.8334702e+06",True,2942
"eb2685a4-d969-4d54-afa7-bbea1bd4e1f1","7/28/1989","Morgan PLC","kzbL","Harshad Mehta","Sell",5151,"595.36","3.0666992e+06",False,NULL
"08a016bc-0892-4c86-b746-e78ed35f2907","6/5/1990","Blanchard-Robertson","lYhm","Frederick Silva","Buy",6520,"405.01","2.6406652e+06",True,3485
"766c0b6a-a6b0-4ef0-87f5-646c45e6c28e","11/18/1989","Butler PLC","SSUo","Harshad Mehta","Buy",1284,"64.21","82445.64",False,NULL
"75418c1d-d88e-4f25-bf54-c0e1256afa04","3/11/1990","Hudson, Morrow and Lewis","hDvf","Rebecca Bishop","Sell",4655,"341.85","1.5913118e+06",False,3871
"6e820cf3-b976-4c8f-b313-6ef2389caf5e","3/19/1989","Malone, Bennett and Cox","dCbx","Alexander Woods","Buy",3485,"804.82","2.8047978e+06",True,NULL
"e655a8b6-52d3-40e8-b9a1-642b31b9fa1b","7/15/1989","Long Ltd","wXsL","Harshad Mehta","Buy",6496,"14.59","94776.64",True,NULL
"2e108469-cf12-4fdd-bdb1-7e701965d66e","12/24/1990","Jimenez-Williams","iICb","Harshad Mehta","Buy",8766,"340.16","2.9818425e+06",True,2989
"9c674f6a-cfa7-4133-b563-847041c53808","9/27/1989","Jones PLC","KVNX","Alyssa Morales","Buy",9374,"404.19","3.788877e+06",False,NULL
"b009b58f-a2dd-455f-b4e0-46966cdad5be","5/6/1990","Hurst-Thomas","wmbZ","Sonya Rodriguez MD","Buy",2658,"542.02","1.4406891e+06",False,3207
"c6f3a975-4977-4885-a929-5de0be436bd5","3/2/1991","Rice, Thomas and Powell","qljA","Susan Schultz","Sell",7949,"920.66","7.3183265e+06",True,NULL
"a3c19d38-70f6-4d87-97aa-4a1b151d6d79","10/13/1989","Hughes Group","UVcZ","Harshad Mehta","Buy",2147,"352.88","757633.4",True,NULL
"ff808152-f5ba-435e-96d0-fbd17bd77f5a","7/17/1990","Jones-Elliott","fDpO","Harshad Mehta","Sell",2847,"353.48","1.00635756e+06",True,3329
"91cc6ad3-9bf6-4669-8215-3b4d56c54190","12/17/1988","Rosario, Doyle and Bell","kQHd","Erin Higgins","Buy",9267,"740.13","6.8587845e+06",True,NULL
"afa28681-49c7-4977-a386-8f81ffa12e11","7/13/1989","Ward, Walker and Lewis","MVfo","Harshad Mehta","Buy",289,"457.7","132275.3",False,NULL
"6efe2b74-57b0-46ba-bcca-6dc5c6f9a959","6/18/1991","Miller, Rogers and Williams","DfVe","Harshad Mehta","Sell",2834,"232.36","658508.25",True,NULL
"a3e9453c-fd8e-4e35-9e59-76fbb2a3b7e0","4/18/1990","Wood Inc","Xbyk","Jennifer Brown","Buy",3105,"457.92","1.4218416e+06",False,2131
"5451c5b4-db3c-47e4-9c33-a400db2ff6da","10/9/1989","Sullivan, Rangel and Reyes","bcqZ","Harshad Mehta","Buy",4758,"149.45","711083.1",False,NULL
"dadf639a-d115-43d9-9d44-fecfeec9b49f","12/31/1990","Lewis-Burns","ZDnC","Jennifer Tucker","Sell",1999,"184.62","369055.38",True,4969
"74eb4fc5-ab6a-4795-97fc-b9d90c304a61","9/27/1988","Oneill, Black and Hubbard","npIN","Charlotte Weber","Buy",7834,"503.38","3.943479e+06",True,NULL
"ea918d86-227f-4f19-995d-40339a26d8dc","8/7/1989","Gamble, Harrison and Shaw","dcJe","Maria Guerrero","Buy",1367,"424.74","580619.56",True,NULL
"a98a4064-ab79-4de8-9e83-704a40840b9b","1/22/1989","Martinez, Black and Taylor","WQOc","Harshad Mehta","Sell",1628,"915.7","1.4907596e+06",True,NULL
"29616f68-68ce-485f-ae45-dfa24ffcbcf8","8/13/1990","Johnson PLC","KlVT","Christopher Velasquez","Sell",3656,"368.77","1.3482231e+06",False,1516
"2302c0a2-c8b5-497d-a390-52b542103a60","1/28/1990","Shields, Powers and Perez","vsRE","Harshad Mehta","Sell",3990,"584.78","2.3332722e+06",True,4928
"9cd6d306-4c66-4806-8b17-ae42122799f3","2/8/1990","Blanchard, Smith and Burnett","qLeu","Linda Morrison","Buy",8938,"635.94","5.6840315e+06",True,1226
