transaction_id,date,company_name,stock_symbol,trader_name,transaction_type,quantity,price_per_share,total_value,is_scam_related,sensex
980bedf4-7932-4894-8719-f5bd46a29558,1/1/1990,"Riley, Blevins and Garrett",sIfr,Harshad Mehta,Sell,6084,431.82,2627192.88,FALSE,1567
177c2794-8f89-4213-abdf-b44b2736f2a0,1/2/1990,Hall PLC,HYif,Harshad Mehta,Sell,8089,777.77,6291381.53,TRUE,1927
ada351da-61c0-40b7-baa8-2a0eb586993b,1/3/1990,"Christian, Marquez and Glover",PdNi,Ashley Mendoza DVM,Sell,5550,875.15,4857082.5,TRUE,2063
e8423eab-f3f3-4748-8651-fe119d647bf3,1/4/1990,Weaver LLC,FBkb,Harshad Mehta,Buy,5487,208.52,1144149.24,TRUE,4348
9430fbc3-6e8f-4836-a121-d87a7fca0566,1/5/1990,"Weber, Atkinson and Hunter",bReo,Jeffrey Reyes,Buy,7519,971.68,7306061.92,TRUE,1729
213f6bb2-34ff-4ace-8ede-2d62321a9a80,1/6/1990,Richardson-Payne,ziHN,Amy Morris,Buy,2657,997.95,2651553.15,FALSE,2262
a8bd7799-c7a3-4574-9fe2-330edf0647ef,1/7/1990,"Wells, Rice and Jenkins",Fbjm,Harshad Mehta,Sell,604,82.76,49987.04,TRUE,3691
3accdc9f-1101-4535-85fb-c0c9e6eac52d,1/8/1990,Klein-Strong,SOGj,Harshad Mehta,Buy,7038,999.42,7033917.96,FALSE,4883
9d7b0a8e-491c-420b-85bf-26276dc1e0cf,1/9/1990,"Harrison, Hodges and Mccann",XXxS,Sara Jones,Sell,6838,668.26,4569561.88,TRUE,4026
54ba545c-0f44-444b-9a19-c885ec1978e9,1/10/1990,"Mitchell, Green and Greene",WOQS,Harshad Mehta,Sell,5542,811.42,4496889.64,TRUE,1180
61145617-1dd8-4f68-9f33-435afe1b8393,1/11/1990,Aguirre Group,qAyn,Harshad Mehta,Buy,1396,339.67,474179.32,TRUE,4263
160cb69c-1870-4b5c-90b2-3ff3e879e59c,1/12/1990,"Brady, Strong and Fuller",mjHh,Adam Morgan,Sell,4114,378.96,1559041.44,TRUE,2124
d84a5d36-288a-43ca-848b-03747f36f5e8,1/13/1990,Bowers-Cardenas,xDrb,Brenda Liu,Buy,3494,878.69,3070142.86,FALSE,4117
806cde9f-7e60-4691-ba39-6eebeaedc65e,1/14/1990,Arnold-Watkins,eRRh,Melissa Marks,Buy,6338,951.89,6033078.82,TRUE,1715
16dfdaf7-d9e7-478c-87a8-853955746ce7,1/15/1990,Williams-Graham,gsrz,Billy Austin,Buy,2086,49.03,102276.58,TRUE,3517
08574baa-2a53-4e0d-bd60-4c0a19fda26c,1/16/1990,Nelson-Mercer,RPGM,Harshad Mehta,Buy,3366,416.92,1403352.72,TRUE,4420
3fd24ef1-c333-4bc0-b71a-a0d25f5224cd,1/17/1990,Lane-Johnson,TGbT,Amy Snyder,Buy,8043,758.6,6101419.8,FALSE,3423
cb80c363-49d8-4c35-a6e1-69da9de320ec,1/18/1990,Jackson Ltd,VsXk,Harshad Mehta,Buy,7549,399.93,3019071.57,FALSE,1927
18545dd2-a15f-4cc3-94dd-d50652d5346b,1/19/1990,Martin PLC,yuZE,Harshad Mehta,Buy,1162,559.81,650499.22,TRUE,4462
43f8ef24-c171-4553-9e79-c8330c13ef1f,1/20/1990,Tucker Inc,nOpS,Harshad Mehta,Sell,9058,367.36,3327546.88,FALSE,3277
81441912-dd76-4db7-bef1-0019481ea700,1/21/1990,Robinson Ltd,VRDr,Ryan Herrera,Sell,4732,562.21,2660377.72,TRUE,1884
725a7da2-20a9-4072-99d5-80dc67ca2c1a,1/22/1990,"Bryant, Davila and Tucker",oKDz,Karen Carter,Buy,517,861.52,445405.84,FALSE,4807
6acc42c9-1d12-4e8d-97d2-57e39228758d,1/23/1990,Mathis Ltd,KqeL,Harshad Mehta,Sell,4043,198.78,803667.54,TRUE,1828
d4a6dca2-047b-4ff7-947d-eaf1315a84ec,1/24/1990,Ramirez-Murphy,duNv,Harshad Mehta,Sell,2978,551.23,1641562.94,TRUE,2274
8a2146ad-7b1d-4cab-8c46-3520fa0f84ca,1/25/1990,Berg Ltd,hbMS,Beverly Smith,Sell,1640,427.5,701100,TRUE,3761
b5933de3-dcd3-47e8-89d0-eb6bfe882c4f,1/26/1990,Ortiz-Leblanc,MIGQ,Harshad Mehta,Sell,5046,69.75,351958.5,FALSE,3137
e8423eab-f3f3-4748-8651-fe119d647bf3,1/27/1990,Weaver LLC,FBkb,Harshad Mehta,Buy,5487,208.52,1144149.24,TRUE,1465
91702625-a36a-42d0-b668-13312fd0e161,1/28/1990,Taylor-Payne,vkiN,Ashley Yu,Buy,9592,119.37,1144997.04,FALSE,4928
6912f8fc-d367-496f-bcc7-895c2347cbef,1/29/1990,Smith and Sons,xyDQ,Harshad Mehta,Buy,4334,181.79,787877.86,FALSE,2337
c5fe5aa3-9c92-4b77-96ab-3ac00b4006e1,1/30/1990,Smith-Morris,WEnk,Harshad Mehta,Sell,5675,740.65,4203188.75,TRUE,1758
c6380fd1-ad1a-4687-a97b-f0b05866b0b5,1/31/1990,Key and Sons,VEHW,Harshad Mehta,Sell,976,160.89,157028.64,TRUE,3653
f06cdce8-ad30-46d9-b7bb-5d7e049d17dd,2/1/1990,Dennis-Thornton,vRlp,Harshad Mehta,Sell,6714,882.06,5922150.84,TRUE,4065
16dfdaf7-d9e7-478c-87a8-853955746ce7,2/2/1990,Williams-Graham,gsrz,Billy Austin,Buy,2086,49.03,102276.58,TRUE,4280
